system:index,BIOME_NAME,GIS_AREA,GOV_TYPE,IUCN_CAT,ORIG_NAME,OWN_TYPE,STATUS_YR,WDPA_PID,band_name,boundary_x_count,boundary_x_mean,boundary_x_stdDev,buffer_x_count,buffer_x_mean,buffer_x_stdDev,gHM,year,.geo
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.1622610049858282,0.8752552573907543,46262,1.1641703898231692,0.8912029212664992,0.018297615896897,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,1.0422414952751042,0.7579315427803337,46262,1.0152864270556885,0.7615096205678384,0.018297615896897,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,1.065656956170923,0.7867492158356127,46262,1.0669216649198845,0.796679108639376,0.018297615896897,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.1262257646821232,0.8490279683156213,46262,1.1261408555450898,0.8644675571481839,0.018297615896897,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,NDVI,6383,0.00010156528881433418,8.492249134491931e-05,46262,0.00011789059641329477,9.057710864992644e-05,0.018297615896897,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,5.89203113640955e-05,4.312049408332432e-05,46262,6.572653764936104e-05,4.708200177334377e-05,0.018297615896897,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.1956221146010024,0.8973259035612362,46262,1.1843995064581994,0.9095290382526336,0.018297615896897,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,1.0426529661709507,0.7616789804950559,46262,1.0023448802593522,0.7500521346960112,0.018297615896897,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,1.0816515402490852,0.8039387898712287,46262,1.086641717301633,0.8217387356048287,0.018297615896897,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.1557672153372889,0.8688009357431613,46262,1.1472532321784,0.8847363335900154,0.018297615896897,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,NDVI,6383,0.00010516811729647607,9.187935298732648e-05,46262,0.00012258665172982738,9.80273068408831e-05,0.018297615896897,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,6.094083943276221e-05,4.500838267510076e-05,46262,6.795027247306262e-05,4.850747504778434e-05,0.018297615896897,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.0011546055382747,0.7851546377306747,46262,0.923131908097044,0.7475189763179962,0.018297615896897,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,0.8943911514254672,0.651698929008062,46262,0.8120939312987291,0.6045040940846751,0.018297615896897,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,0.8915021866745335,0.6896637476900934,46262,0.8412503172780456,0.6645713798101961,0.018297615896897,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
